,Kilometerstand,Erstzulassung,Leistung,Getriebe,Anzahl der Fahrzeughalter,Kraftstoffart,Fahrzeugzustand,Kategorie,Hubraum,Verbrauch,CO₂-Emissionen,Anzahl der Türen,Klimatisierung,Farbe,Innenausstattung,Price,Dealer,Ad_link,Umweltplakette,Farbe (Hersteller),Baujahr,Zugr.-lgd. Treibstoffart
10,13.600 km,02/2009,283 kW (385 PS),Schaltgetriebe,2,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 10,6 l/100km (kombiniert)ca. 15,9 l/100km (innerorts)ca. 7,6 l/100km (außerorts)",ca. 250 g/km (kombiniert),,Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",79.500 €,Privatanbieter,https://suchen.mobile.de/fahrzeuge/details.html?id=379848311&action=eyeCatcher&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,4 (Grün),,,
11,75.500 km,01/2009,254 kW (345 PS),Automatik,,Benzin,Unfallfrei,Sportwagen / Coupé,3.610 cm³,"ca. 11,4 l/100km (kombiniert)ca. 16,5 l/100km (innerorts)ca. 8,1 l/100km (außerorts)",ca. 268 g/km (kombiniert),2/3,Klimaautomatik,Rot Metallic,"Vollleder, Beige",74.500 €,Privatanbieter,https://suchen.mobile.de/fahrzeuge/details.html?id=369333821&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,,,,
12,75.007 km,05/2009,283 kW (385 PS),Schaltgetriebe,,Benzin,,Sportwagen / Coupé,3.800 cm³,,ca. 259 g/km (kombiniert),2/3,Keine Klimaanlage oder -automatik,Weiß,"Vollleder, Grau",77.500 €,HooG Selections B.V.,https://suchen.mobile.de/fahrzeuge/details.html?id=375647421&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,,CARRARAWEISS,2009,
13,7.200 km,07/2011,283 kW (385 PS),Automatik,1,Benzin,,Sportwagen / Coupé,3.800 cm³,"ca. 10,7 l/100km (kombiniert)ca. 15,8 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 251 g/km (kombiniert),2/3,Klimaautomatik,Silber Metallic,"Vollleder, Schwarz",96.880 €,Porsche Zentrum Schwäbisch Gmünd Hahn Sportwagen Schwäbisch Gmünd GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=379976215&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,4 (Grün),Platinsilbermetallic,2011,Benzin Super Plus
14,69.980 km,09/2010,283 kW (385 PS),Schaltgetriebe,,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,8 l/100km (kombiniert)ca. 16,2 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 254 g/km (kombiniert),2/3,Klimaautomatik,Braun Metallic,"Vollleder, Beige",84.900 €,Motorlegenden,https://suchen.mobile.de/fahrzeuge/details.html?id=378818127&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,,Macadamia,,
15,197.076 km,05/2009,283 kW (385 PS),Automatik,1,Benzin,,Sportwagen / Coupé,3.800 cm³,"ca. 10,7 l/100km (kombiniert)ca. 15,8 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 251 g/km (kombiniert),2/3,Klimaautomatik,Blau Metallic,Vollleder,68.890 €,Autohaus am Steinheimer Tor GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=379368260&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,4 (Grün),Nachtblau-Metallic,,
16,175.830 km,05/2009,283 kW (385 PS),Automatik,5,Benzin,,Sportwagen / Coupé,3.800 cm³,"ca. 10,5 l/100km (kombiniert)ca. 15,8 l/100km (innerorts)ca. 7,5 l/100km (außerorts)",ca. 247 g/km (kombiniert),2/3,Klimaautomatik,Weiß,"Stoff, Schwarz",57.555 €,Garage Grooten bv,https://suchen.mobile.de/fahrzeuge/details.html?id=375087790&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,,,2009,Benzin
17,53.500 km,11/2010,254 kW (345 PS),Automatik,2,Benzin,Unfallfrei,Cabrio / Roadster,3.614 cm³,"ca. 10,3 l/100km (kombiniert)ca. 15,5 l/100km (innerorts)ca. 7,4 l/100km (außerorts)",ca. 242 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Andere",82.997 €,Porsche Zentrum Kassel Glinicke Sportwagen GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=370698076&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,4 (Grün),Basaltschwarz-metallic,2010,
18,97.540 km,12/2010,283 kW (385 PS),Automatik,,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 10,6 l/100km (kombiniert)ca. 15,9 l/100km (innerorts)ca. 7,6 l/100km (außerorts)",ca. 250 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",64.997 €,Privatanbieter,https://suchen.mobile.de/fahrzeuge/details.html?id=379233418&action=eyeCatcher&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),,,
19,100.300 km,11/2010,283 kW (385 PS),Schaltgetriebe,,Benzin,,Sportwagen / Coupé,3.800 cm³,"ca. 10,6 l/100km (kombiniert)ca. 15,9 l/100km (innerorts)ca. 7,6 l/100km (außerorts)",ca. 251 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Beige",48.990 €,Autohaus Selcuk,https://suchen.mobile.de/fahrzeuge/details.html?id=373080914&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),Basaltschwarz-metallic,,
20,87.000 km,10/2011,254 kW (345 PS),Automatik,4,Benzin,,Sportwagen / Coupé,3.614 cm³,"ca. 9,8 l/100km (kombiniert)ca. 14,7 l/100km (innerorts)ca. 7,0 l/100km (außerorts)",ca. 230 g/km (kombiniert),2/3,Klimaautomatik,Schwarz,"Vollleder, Schwarz",66.888 €,Autohaus Krah & Enders GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=368535592&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),Black 041,,
21,96.911 km,07/2011,254 kW (345 PS),Automatik,2,Benzin,Unfallfrei,Sportwagen / Coupé,3.614 cm³,"ca. 9,9 l/100km (kombiniert)ca. 14,9 l/100km (innerorts)ca. 7,1 l/100km (außerorts)",ca. 233 g/km (kombiniert),2/3,Klimaautomatik,Schwarz,"Vollleder, Schwarz",65.911 €,Auto Böse & Steinbach GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=375099342&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),Schwarz,,
22,126.432 km,07/2010,283 kW (385 PS),Automatik,,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 10,2 l/100km (kombiniert)ca. 15,3 l/100km (innerorts)ca. 7,3 l/100km (außerorts)",ca. 240 g/km (kombiniert),2/3,2-Zonen-Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",65.997 €,Autohaus Reisert Vertriebs GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=378390135&action=eyeCatcher&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),Basaltschwarz-metallic,,
23,138.500 km,07/2009,283 kW (385 PS),Automatik,3,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 11,2 l/100km (kombiniert)ca. 16,8 l/100km (innerorts)ca. 8,0 l/100km (außerorts)",ca. 263 g/km (kombiniert),2/3,Klimaautomatik,Braun Metallic,"Vollleder, Braun",57.997 €,Privatanbieter,https://suchen.mobile.de/fahrzeuge/details.html?id=379631532&action=eyeCatcher&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),,,
24,113.000 km,07/2009,283 kW (385 PS),Automatik,4,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 11,0 l/100km (kombiniert)ca. 16,5 l/100km (innerorts)ca. 7,9 l/100km (außerorts)",ca. 259 g/km (kombiniert),2/3,Klimaautomatik,Rot,"Vollleder, Braun",61.997 €,Privatanbieter,https://suchen.mobile.de/fahrzeuge/details.html?id=377395063&action=eyeCatcher&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),,,
25,64.415 km,09/2009,261 kW (355 PS),Schaltgetriebe,2,Benzin,Unfallfrei,Cabrio / Roadster,3.824 cm³,"ca. 11,8 l/100km (kombiniert)ca. 17,5 l/100km (innerorts)ca. 8,5 l/100km (außerorts)",ca. 285 g/km (kombiniert),2/3,2-Zonen-Klimaautomatik,Blau Metallic,"Vollleder, Beige",59.990 €,A.K. Automobile,https://suchen.mobile.de/fahrzeuge/details.html?id=379459146&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),Nachtblau-Metallic,,
26,99.554 km,02/2010,283 kW (385 PS),Automatik,,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,3 l/100km (kombiniert)ca. 15,5 l/100km (innerorts)ca. 7,2 l/100km (außerorts)",ca. 242 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",69.890 €,Automotive Passion GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=369844789&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),Z4 basaltschwarzmetallic,,
27,78.000 km,03/2010,254 kW (345 PS),Automatik,,Benzin,Unfallfrei,Cabrio / Roadster,3.614 cm³,"ca. 9,9 l/100km (kombiniert)ca. 14,9 l/100km (innerorts)ca. 7,1 l/100km (außerorts)",ca. 233 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",64.800 €,H.Waltner GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=379092433&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),Basaltschwarz-metallic,,
28,145.000 km,03/2010,254 kW (345 PS),Schaltgetriebe,2,Benzin,Unfallfrei,Sportwagen / Coupé,3.614 cm³,"10,4 l/100km (kombiniert)*15,6 l/100km (innerorts)*7,5 l/100km (außerorts)*",245 g/km (kombiniert)*,2/3,Klimaautomatik,Schwarz,Vollleder,61.489 €,BayernCar GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=377060313&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),A1 Schwarz,,Benzin Super
29,49.523 km,07/2011,254 kW (345 PS),Automatik,2,Benzin,Unfallfrei,Sportwagen / Coupé,3.614 cm³,"ca. 9,8 l/100km (kombiniert)ca. 14,7 l/100km (innerorts)ca. 7,0 l/100km (außerorts)",ca. 230 g/km (kombiniert),2/3,2-Zonen-Klimaautomatik,Schwarz Metallic,"Vollleder, Braun",59.990 €,Autocentrum24 GmbH -  Autocentrum24-Gruppe,https://suchen.mobile.de/fahrzeuge/details.html?id=375336949&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,1 (Keine),schwarz,2010,
30,99.500 km,06/2009,254 kW (345 PS),Automatik,4,Benzin,Unfallfrei,Cabrio / Roadster,3.614 cm³,"ca. 9,9 l/100km (kombiniert)ca. 14,9 l/100km (innerorts)ca. 7,0 l/100km (außerorts)",ca. 233 g/km (kombiniert),2/3,Klimaautomatik,Schwarz,"Vollleder, Andere",69.900 €,Porsche Zentrum Essen Gottfried Schultz Sportwagen GmbH & Co. KG,https://suchen.mobile.de/fahrzeuge/details.html?id=375181871&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),schwarz,2009,
31,183.000 km,05/2011,254 kW (345 PS),Automatik,,Benzin,,Sportwagen / Coupé,3.614 cm³,"ca. 10,3 l/100km (kombiniert)ca. 15,5 l/100km (innerorts)ca. 7,4 l/100km (außerorts)",ca. 242 g/km (kombiniert),2/3,Klimaautomatik,Schwarz,"Vollleder, Schwarz",49.997 €,Autohaus Bad Oldesloe,https://suchen.mobile.de/fahrzeuge/details.html?id=369472350&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),Schwarz,,
32,87.372 km,04/2009,283 kW (385 PS),Automatik,3,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 10,2 l/100km (kombiniert)ca. 15,3 l/100km (innerorts)ca. 7,3 l/100km (außerorts)",ca. 240 g/km (kombiniert),2/3,Klimaautomatik,Blau Metallic,"Vollleder, Beige",64.990 €,WIVEDA Autovermittlung,https://suchen.mobile.de/fahrzeuge/details.html?id=379730617&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),Nachtblau-Metallic,,
33,80.000 km,09/2010,283 kW (385 PS),Schaltgetriebe,2,Benzin,,Cabrio / Roadster,3.800 cm³,"ca. 10,8 l/100km (kombiniert)ca. 16,2 l/100km (innerorts)ca. 7,8 l/100km (außerorts)",ca. 256 g/km (kombiniert),2/3,Klimaautomatik,Schwarz,"Vollleder, Schwarz",72.900 €,Porsche Zentrum Düsseldorf Gottfried Schultz Sportwagen Düsseldorf GmbH & Co. KG,https://suchen.mobile.de/fahrzeuge/details.html?id=371800995&action=eyeCatcher&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),schwarz,2010,
34,89.900 km,06/2011,254 kW (345 PS),Automatik,,Benzin,Unfallfrei,Cabrio / Roadster,3.614 cm³,"ca. 10,4 l/100km (kombiniert)ca. 15,6 l/100km (innerorts)ca. 7,5 l/100km (außerorts)",ca. 245 g/km (kombiniert),2/3,Klimaautomatik,Weiß,"Vollleder, Schwarz",68.800 €,Amrein Automobile GmbH & Co KG,https://suchen.mobile.de/fahrzeuge/details.html?id=363451082&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),Carraraweiss,,
35,96.988 km,04/2009,261 kW (355 PS),Schaltgetriebe,3,Benzin,Unfallfrei,Cabrio / Roadster,3.824 cm³,"ca. 11,2 l/100km (kombiniert)ca. 18,6 l/100km (innerorts)ca. 8,0 l/100km (außerorts)",ca. 265 g/km (kombiniert),2/3,Klimaautomatik,Weiß,"Vollleder, Braun",64.950 €,M. Leuwen Automobile,https://suchen.mobile.de/fahrzeuge/details.html?id=365039470&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),Carraraweiß,,
36,149.000 km,11/2009,283 kW (385 PS),Automatik,2,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,8 l/100km (kombiniert)ca. 16,2 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 254 g/km (kombiniert),2/3,Klimaautomatik,Grau Metallic,"Vollleder, Schwarz",57.997 €,Autopark Osterholz-Scharmbeck GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=372218954&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=2&pw=%3A295&ref=srp&refId=6198d15e-739c-eec0-402b-9ddcb60400e6&sb=rel&searchId=6198d15e-739c-eec0-402b-9ddcb60400e6&vc=Car,4 (Grün),Meteorgrau,,
